test_id,start_time,end_time,pair,period,return_percent,return_buy_hold,win_rate,sharpe_ratio,max_drawdown,best_indicators_combination,filter_buy,trigger_buy,trade_buy,filter_sell,trigger_sell,trade_sell,total_trades,best_trade,worst_trade,average_trade,profit_factor
128,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,2.88,2.72,63.64,0.66,-5.3,"PlaygroundLouis(sma_p_long=47,ema_p_short=3,rsi_layer_cheap=17,rsi_layer_expensive=76,rsi_period=4,max_candles=2)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,11,9.48,-5.19,0.41,1.48
129,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,13.04,2.72,66.67,2.96,-3.22,"PlaygroundLouis(sma_p_long=48,ema_p_short=3,rsi_layer_cheap=19,rsi_layer_expensive=77,rsi_period=4,max_candles=4)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,12,6.11,-1.37,1.35,7.26
130,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,10.07,2.72,87.5,2.77,-3.18,"PlaygroundLouis(sma_p_long=48,ema_p_short=3,rsi_layer_cheap=19,rsi_layer_expensive=77,rsi_period=4,max_candles=2)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,8,5.89,-0.36,1.54,35.87
131,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,5.22,2.72,66.67,1.94,-3.71,"PlaygroundLouis(sma_p_long=47,ema_p_short=3,rsi_layer_cheap=19,rsi_layer_expensive=76,rsi_period=3,max_candles=2)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,6,5.43,-1.77,1.07,3.95
132,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,4.92,2.72,100.0,1.85,-2.87,"PlaygroundLouis(sma_p_long=47,ema_p_short=3,rsi_layer_cheap=19,rsi_layer_expensive=77,rsi_period=4,max_candles=2)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,3,3.06,0.46,1.9,nan
133,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,1.07,2.6,64.71,0.16,-17.84,"PlaygroundLouis(sma_p_long=83,ema_p_short=10,rsi_layer_cheap=25,rsi_layer_expensive=67,rsi_period=8,max_candles=7)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,17,4.83,-7.43,0.06,1.09
134,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,-1.27,2.6,48.89,0.0,-19.77,"PlaygroundLouis(sma_p_long=83,ema_p_short=10,rsi_layer_cheap=25,rsi_layer_expensive=69,rsi_period=5,max_candles=7)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,45,9.11,-7.51,-0.03,1.01
135,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,-0.02,2.6,60.0,0.0,-18.57,"PlaygroundLouis(sma_p_long=80,ema_p_short=10,rsi_layer_cheap=25,rsi_layer_expensive=67,rsi_period=8,max_candles=7)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,15,4.38,-7.43,0.01,1.05
136,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,6.32,2.6,40.43,0.76,-11.58,"PlaygroundLouis(sma_p_long=80,ema_p_short=10,rsi_layer_cheap=25,rsi_layer_expensive=69,rsi_period=5,max_candles=9)",FilterBuy_RSI,TriggeredState_MaxCandles,Trade_Buy_HighLastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_Price_EMAshort,47,9.42,-6.3,0.21,1.39
137,2024-06-30 23:00:00+02:00,2024-09-26 11:00:00+02:00,BTCUSDT,1h,0.28,2.6,100.0,0.46,-1.74,"PlaygroundLouis(sma_p_long=80,ema_p_short=10,rsi_layer_cheap=25,rsi_layer_expensive=65,rsi_period=8,max_candles=8)",FilterBuy_RSI_price_SMA_long,TriggeredState_MaxCandles,Trade_Buy_High_x_High_LastCandle,FilterSell_RSI,TriggeredState_MaxCandles,Trade_Sell_LowLastCandle,1,0.36,0.36,0.36,nan
