,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
43,65,1276,1282,2242.09811,2238.66,-223.47715000000335,-0.001533434234954223,2024-01-04 14:00:00,2024-01-05 02:00:00,0 days 12:00:00
44,64,1285,1287,2255.7786,2242.15,-872.2304000000004,-0.006041639015460065,2024-01-05 08:00:00,2024-01-05 12:00:00,0 days 04:00:00
45,64,1292,1296,2249.679465,2235.63,-899.1657600000035,-0.006245096343091783,2024-01-05 22:00:00,2024-01-06 06:00:00,0 days 08:00:00
46,64,1301,1304,2249.64942,2239.91,-623.3228800000215,-0.0043293056746595004,2024-01-06 16:00:00,2024-01-06 22:00:00,0 days 06:00:00
47,64,1308,1310,2246.1642,2232.86,-851.4688000000024,-0.005923075436782388,2024-01-07 06:00:00,2024-01-07 10:00:00,0 days 04:00:00
48,63,1312,1313,2254.8572200000003,2229.9,-1572.3048600000147,-0.011068204132233417,2024-01-07 14:00:00,2024-01-07 16:00:00,0 days 02:00:00
49,62,1315,1316,2251.63239,2239.19,-771.4281800000099,-0.0055259420033481055,2024-01-07 20:00:00,2024-01-07 22:00:00,0 days 02:00:00
50,63,1321,1322,2226.83525,2210.99,-998.2507500000193,-0.007115591510418295,2024-01-08 08:00:00,2024-01-08 10:00:00,0 days 02:00:00
51,62,1323,1334,2243.590345,2291.49,2969.778609999982,0.021349554791384895,2024-01-08 12:00:00,2024-01-09 10:00:00,0 days 22:00:00
52,61,1335,1336,2302.1981250000003,2275.17,-1648.7156250000166,-0.011740138568656078,2024-01-09 12:00:00,2024-01-09 14:00:00,0 days 02:00:00
53,60,1340,1366,2321.4169100000004,2594.0,16354.985399999978,0.11742099785083404,2024-01-09 22:00:00,2024-01-12 02:00:00,2 days 04:00:00
54,60,1368,1369,2613.6646250000003,2597.23,-986.0775000000194,-0.006287962442771411,2024-01-12 06:00:00,2024-01-12 08:00:00,0 days 02:00:00
55,59,1370,1374,2620.114285,2604.52,-920.0628150000075,-0.0059517575585448235,2024-01-12 10:00:00,2024-01-12 18:00:00,0 days 08:00:00
56,60,1385,1386,2568.14645,2555.76,-743.1869999999981,-0.0048231089001953276,2024-01-13 16:00:00,2024-01-13 18:00:00,0 days 02:00:00
57,60,1387,1391,2576.2986600000004,2551.84,-1467.5196000000142,-0.009493720731896915,2024-01-13 20:00:00,2024-01-14 04:00:00,0 days 08:00:00
58,60,1404,1405,2523.09898,2514.32,-526.7388000000028,-0.0034794433629393717,2024-01-15 06:00:00,2024-01-15 08:00:00,0 days 02:00:00
59,60,1406,1409,2533.083935,2515.01,-1084.4360999999935,-0.007135150458407513,2024-01-15 10:00:00,2024-01-15 16:00:00,0 days 06:00:00
60,59,1410,1412,2536.308765,2522.72,-801.7371350000249,-0.00535769350621651,2024-01-15 18:00:00,2024-01-15 22:00:00,0 days 04:00:00
61,59,1415,1420,2541.796985,2525.57,-957.3921149999874,-0.006384060212424769,2024-01-16 04:00:00,2024-01-16 14:00:00,0 days 10:00:00
62,58,1421,1428,2563.269145,2562.48,-45.770410000011,-0.0003078666169487043,2024-01-16 16:00:00,2024-01-17 06:00:00,0 days 14:00:00
63,58,1441,1443,2542.678305,2522.73,-1157.0016899999937,-0.007845390807312502,2024-01-18 08:00:00,2024-01-18 12:00:00,0 days 04:00:00
64,59,1454,1457,2486.46411,2463.67,-1344.8524899999893,-0.009167278911578536,2024-01-19 10:00:00,2024-01-19 16:00:00,0 days 06:00:00
65,59,1459,1463,2497.32037,2481.82,-914.5218299999851,-0.006206800771820786,2024-01-19 20:00:00,2024-01-20 04:00:00,0 days 08:00:00
66,59,1473,1474,2475.9683900000005,2469.55,-378.68501000001606,-0.002592274613005152,2024-01-21 00:00:00,2024-01-21 02:00:00,0 days 02:00:00
67,58,1475,1481,2479.063025,2468.01,-641.075449999983,-0.004458549415055635,2024-01-21 04:00:00,2024-01-21 16:00:00,0 days 12:00:00
68,58,1482,1484,2478.4721400000003,2473.51,-287.80412000000524,-0.0020020963398846847,2024-01-21 18:00:00,2024-01-21 22:00:00,0 days 04:00:00
